codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
191324.0,Apartamento de 49 m² com 02 quartos   Campos Elíseos,2.0,1.0,1.0,49.0,Campos Eliseos,270000.0
149225.0,Apartamento de 116m² com 03 quartos à venda   Jardim Macedo,3.0,3.0,1.0,116.0,Jardim Macedo,330000.0
218480.0,Apartamento mobiliado de 123m² com 02 quartos para locação e venda   Jardim Botânico,2.0,4.0,2.0,123.0,Jardim Botanico,1275000.0
214436.0,Apartamento de 65m² com 03 quartos à venda   Jardim Sumarezinho,3.0,2.0,1.0,65.0,Sumarezinho,415000.0
229199.0,Apartamento 154m² com 03 suítes à venda   Jardim Olhos D`Água,3.0,6.0,3.0,154.0,Jardim Olhos DAgua,1205000.0
165650.0,Apartamento No Sumarezinho,2.0,1.0,1.0,46.0,Sumarezinho,170000.0
216359.0,Apartamento de 48m² com 02 quartos para locação   Bonfim Paulista,2.0,1.0,1.0,48.0,Jardim Sao Fernando,175000.0
165911.0,APARTAMENTO NO JARDIM SUMARÉ,1.0,1.0,1.0,44.0,Jardim Sumare,200000.0
104336.0,Apartamento de 60m² com 01 suíte para locação e venda   City Ribeirão,1.0,2.0,1.0,60.0,City Ribeirao,260000.0
154346.0,APARTAMENTO PRÓXIMO À RODOVIA ANHANGUERA,2.0,2.0,2.0,78.0,Residencial e Comercial Palmares,340000.0
141104.0,****LINDO APARTAMENTO NO IPIRANGA****,2.0,1.0,1.0,46.0,Ipiranga,190000.0
70424.0,Apartamento   Padrão,1.0,2.0,1.0,46.0,Jardim Botanico,270000.0
230177.0,Apartamento de 72m² com 02 quartos para venda   Jardim Castelo Branco,2.0,2.0,1.0,72.0,Jardim Castelo Branco,250000.0
234116.0,Apartamento de 72m² com 02 quartos à venda   Vila Seixas,2.0,3.0,1.0,72.0,Vila Seixas,318000.0
224105.0,Apartamento de 178m² com 03 suítes à venda   Jardim Olhos D`Água,3.0,5.0,3.0,178.0,Jardim Villarica,1450000.0
122951.0,Apartamento de 02 quartos para venda e locação   Ipiranga,2.0,1.0,1.0,44.0,Ipiranga,175000.0
223904.0,Apartamento de 86m² com 03 quartos à venda   Jardim Castelo Branco,3.0,2.0,1.0,86.0,Jardim Castelo Branco,250000.0
241247.0,Apartamento de 76m² com 02 quartos à venda   Centro,2.0,2.0,1.0,76.0,Centro,245000.0
235295.0,Apartamento de 106m² com 03 suítes à venda   Vila do Golfe,3.0,4.0,2.0,106.0,Vila do Golf,1320000.0
187004.0,Apartamento de 36m² com 01 quarto à venda   Vila Ana Maria,1.0,1.0,1.0,36.0,Vila Ana Maria,300000.0
194603.0,Apartamento   Padrão,2.0,1.0,1.0,47.0,Alto da Boa Vista,250000.0
240554.0,Apartamento de 114m² com 03 quartos à venda   Jardim Botânico,3.0,4.0,2.0,114.0,Jardim Botanico,812000.0
221885.0,Apartamento de 42m² com 02 quartos à venda   Quintino Facci II,2.0,1.0,1.0,42.0,Quintino Facci II,170000.0
244790.0,Apartamento de 92m² com 03 quartos à venda   Centro,3.0,3.0,1.0,92.0,Centro,300000.0
237920.0,Apartamento de 139m² com 03 suítes à venda   Bosque das Juritis,3.0,5.0,2.0,139.0,Bosque das Juritis,1170000.0
223040.0,Apartamento de 42m² com 02 quartos à venda   Ipiranga,2.0,1.0,1.0,42.0,Ipiranga,129000.0
203750.0,Apartamento com 123m² com 3 quartos para locação e venda   Santa Cruz dos Jacques,3.0,4.0,2.0,123.0,Santa Cruz do Jose Jacques,890000.0
174224.0,Apartamento de 48m² com 02 quartos para locação   Residencial Greenville,2.0,2.0,1.0,48.0,Residencial Greenville,277000.0
178784.0,Lançamento em Bonfim Paulista! Montverde Residencial,2.0,2.0,2.0,60.0,Bonfim Paulista,329000.0
59390.0,Apartamento de 239m² com 03 quartos sendo 01 suíte para locação e venda   Jardim Irajá,4.0,4.0,4.0,239.0,Jardim Iraja,1550000.0
88430.0,APARTAMENTO RIBEIRÃO PRETO,1.0,1.0,1.0,46.0,Jardim Marchesi,181000.0
178265.0,Apartamento de 61m² com 02 suítes à venda   Nova Aliança,2.0,3.0,1.0,61.0,Nova Alianca,589792.15
117782.0,Apartamento de 264m² com 03 suítes para locação   Centro,3.0,5.0,3.0,264.0,Centro,950000.0
201980.0,APARTAMENTO NO RESIDENCIAL GREENVILLE,2.0,1.0,1.0,44.0,Residencial Greenville,180000.0
109340.0,Apartamento de 40m² com 01 quarto à venda   Jardim Palma Travassos,1.0,1.0,1.0,40.0,Jardim Palma Travassos,250000.0
161756.0,Apartamento térreo de 50m² com 01 quarto à venda   Jardim Paulistano,1.0,1.0,1.0,50.0,Jardim Paulistano,171000.0
199406.0,APARTAMENTO NO CENTRO,1.0,1.0,1.0,44.0,Centro,130000.0
182000.0,Apartamento de 103m² com 03 quartos sendo 01 suíte à venda   Vila Seixas,3.0,2.0,2.0,103.0,Vila Seixas,480000.0
104537.0,Apartamento de 110m² com armarios a venda   Jardim Macedo,2.0,1.0,1.0,110.0,Jardim Palma Travassos,250000.0
239147.0,Apartamento de 43m² com 02 quartos à venda   Jardim Interlagos,2.0,1.0,1.0,43.0,Jardim Interlagos,175000.0
24080.0,Apartamento mobiliado de 49m² com 01 à venda   Centro,1.0,1.0,1.0,49.0,Centro,189000.0
150452.0,APARTAMENTO EM BOMFIM PAULISTA,3.0,2.0,1.0,78.0,Jardim Zaneti,335000.0
224840.0,Apartamento de 42 m² com 02 quartos   Jardim Itaú,2.0,1.0,1.0,42.0,Jardim Itau,170000.0
125093.0,Apartamento de 02 quartos para locação   Heitor Rigon,2.0,1.0,1.0,42.0,Jardim Heitor Rigon,125000.0
148922.0,Apartamento de 107m² com 03 quartos para locação e venda   Jardim Paulista,3.0,2.0,2.0,107.0,Jardim Paulista,799000.0
188513.0,Apartamento de 140m² com 03 quartos para locação   Centro,3.0,3.0,1.0,140.0,Centro,550000.0
193268.0,Apartamento de 42m² com 02 quartos à venda   Jardim Cybelli,2.0,1.0,1.0,42.0,Jardim Cybelli,200000.0
176099.0,APARTAMENTO NO JARDIM JAVARI,2.0,1.0,1.0,42.0,Jardim Javari,110000.0
235622.0,Apartamento de 41m² com 02 quartos à venda   Jardim João Rossi,2.0,1.0,1.0,41.0,Jardim Joao Rossi,150000.0
117890.0,Apartamento de 76 m² com 03 quartos   Presidente Médici,3.0,2.0,1.0,76.0,Jardim Palma Travassos,225000.0
193826.0,APARTAMENTO PARQUE SÃO SEBASTIÃO,2.0,1.0,1.0,47.0,Parque Sao Sebastiao,165000.0
166100.0,****APARTAMENTO PRÓXIMO AO ATACADÃO****,2.0,1.0,1.0,43.0,Quintino Facci II,150000.0
159455.0,APARTAMENTO NOVO PRÓXIMO HENRI NESTLÉ,2.0,1.0,1.0,45.0,Residencial Parque dos Servidores,190000.0
104543.0,Apartamento de 42m² com 02 quartos para venda e locação   Jardim Itaú,2.0,1.0,1.0,42.0,Jardim Itau,170000.0
199034.0,Apartamento de 46m² com 02 quartos à   Ipiranga,2.0,1.0,1.0,46.0,Ipiranga,165000.0
169745.0,Apartamento de 72m² com 01 suíte à venda   Jardim Botânico,1.0,2.0,2.0,72.0,Jardim Botanico,1050000.0
244133.0,Apartamento de 46m² com 02 quartos para venda   Ribeirânia,2.0,1.0,1.0,46.0,Ribeirania,181000.0
194657.0,Apartamento de 194m² com 03 suítes e 03 vagas   Jardim Botânico,3.0,2.0,3.0,194.0,Jardim Botanico,1358000.0
182978.0,Apartamento de 02 quartos para venda   Lagoinha,2.0,1.0,1.0,46.0,Ribeirania,180000.0
165245.0,Apartamento de 92m² com 03 quartos sendo 01 suíte   Jardim Castelo Branco,3.0,2.0,1.0,92.0,Jardim Castelo Branco,345000.0
231905.0,Apartamento semi mobiliado de 42 m² com 02 quartos para locação   Jardim Santa Cecilia,2.0,1.0,1.0,42.0,Jardim Santa Cecilia,205000.0
229403.0,Apartamento de 47m² com 2 quartos à venda   Jardim Paiva.,2.0,2.0,1.0,47.0,Jardim Paiva,270000.0
151913.0,Apartamento de 81m² com 03 quartos à venda   Jardim Paulista,3.0,2.0,1.0,81.0,Jardim Paulista,265000.0
