codigo,apartamento,qtd_quartos,qtd_banheiros,qtd_garagem,metragem,bairro,valor_venda
134900.0,APARTAMENTO JARDIM MANOEL PENNA,2.0,1.0,1.0,46.0,Jardim Manoel Penna,200000.0
216779.0,Apartamento de 107m² com 03 quartos à venda   Centro,3.0,3.0,1.0,107.0,Centro,285000.0
118277.0,Apartamento de 183m² com 03 suítes à venda   Jardim Botânico,3.0,5.0,3.0,183.0,Jardim Botanico,1420000.0
120887.0,Apartamento de 58m² com 02 quartos para locação   Ribeirânia,2.0,2.0,1.0,58.0,Ribeirania,500000.0
179333.0,ÓTIMO APARTAMENTO NO MONTE ALEGRE,2.0,2.0,1.0,84.0,Vila Monte Alegre,310000.0
206240.0,Apartamento duplex de 78m² com 01 suíte à venda   Jardim São Luiz,1.0,2.0,1.0,78.0,Jardim Sao Luiz,300000.0
176894.0,APARTAMENTO NO JARDIM DIVA TARLÁ DE CARVALHO,2.0,1.0,1.0,43.0,Jardim Diva Tarla de Carvalho,150000.0
188615.0,Apartamento de 02 quartos para locação   Ipiranga,2.0,1.0,1.0,42.0,Ipiranga,195000.0
163787.0,APARTAMENTO NO JARDIM HELENA,2.0,1.0,1.0,40.0,Reserva Real,135000.0
93527.0,Apartamento   Padrão,2.0,1.0,1.0,55.0,Vila Virginia,190000.0
232124.0,Apartamento de 49m² com 1 quarto para locação   Ribeirânia,1.0,1.0,1.0,49.0,Ribeirania,450000.0
116132.0,"Apartamento de 86m² com 02 quartos à venda   516,98",3.0,2.0,1.0,86.0,Jardim Interlagos,300000.0
209798.0,Apartamento de 72m² com 03 quartos à venda   Vila Mariana,3.0,2.0,2.0,72.0,Independencia,330000.0
225893.0,Apartamento novo de 42 m² com 02 quartos à venda   Quintino Facci II,2.0,1.0,1.0,42.0,Quintino Facci II,185000.0
76943.0,APARTAMENTO NO JARDIM PALMA TRAVASSOS,3.0,2.0,1.0,130.0,Jardim Palma Travassos,371000.0
139487.0,APARTAMENTO NO PARQUE DOS LAGOS,2.0,1.0,1.0,45.0,Parque dos Lagos,139000.0
203729.0,APARTAMENTO NO BAIRRO BOSQUE DAS JURITIS,1.0,1.0,1.0,40.0,Bosque das Juritis,340000.0
98009.0,Apartamento de 98m² com 02 quartos à venda   Alto da Boa Vista,2.0,1.0,1.0,98.0,Alto da Boa Vista,390000.0
15893.0,Apartamento de 37m² com 01 quarto à venda   Jardim Nova Aliança,1.0,1.0,1.0,37.0,Nova Alianca,200000.0
215432.0,Apartamento de 252m² com 03 suítes à venda   Centro,4.0,5.0,3.0,252.0,Centro,1250000.0
196370.0,APARTAMENTO NO JARDIM PAULISTA,2.0,2.0,1.0,72.0,Jardim Paulista,380000.0
150962.0,APARTAMENTO PRÓXIMO À AVENIDA JOSÉ ANTÔNIO FERRARI,2.0,1.0,1.0,41.0,Reserva Real,223000.0
